ASIN,Product Title,Current Price,Original Price,Currency,Discount %,Savings Amount,URL,Image URL,Category,Brand,Prime
B009T7OKUG,Men in Black 3,49,599,₹,91,550,https://www.amazon.in/dp/B009T7OKUG?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41HA2j1xVGL._SL160_.jpg,MoviesAndTV,,false
B0BBFCG66M,"DesiDiya® 35 Feet Long LED Power Pixel Serial String Light, 360 Degree Light in Bulb | Copper Led Pixel String Light for Home Decoration,Diwali,Christmas(Warm White) Pack of 1",98,999,₹,90,901,https://www.amazon.in/dp/B0BBFCG66M?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41K+rPaNnLL._SL160_.jpg,GiftCards,,false
B0FV8MCC2K,Lifesto Oval Shape Adhesive Mirror Sticker for Wall on Tiles Bedroom Living Room Basin Mirror Bathroom Wall Mirror Both Side Sticker Acrylic Wall Mirror for Wall Full Length (1),139,1499,₹,90,1360,https://www.amazon.in/dp/B0FV8MCC2K?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31hnvi5JnpL._SL160_.jpg,Furniture,,false
B0CP84GDFW,LEGAL BRIBE Womens Textured Shoulder Tote Bag (Beige),437,2580,₹,83,2143,https://www.amazon.in/dp/B0CP84GDFW?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31FEJ52ugxL._SL160_.jpg,Shoes,,false
B07XCM6T4N,STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),245,1499,₹,83,1254,https://www.amazon.in/dp/B07XCM6T4N?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51aYKwgu-GL._SL160_.jpg,Furniture,,false
B0C376RWQP,"Zebronics-NS1000 Laptop Stand Featuring Foldable Design, Anti-Slip Silicone Rubber Pads, Supports Maximum of 5kgs Weight, 6 Adjustable Levels.",229,1399,₹,83,1170,https://www.amazon.in/dp/B0C376RWQP?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/419YZgB9PeL._SL160_.jpg,Furniture,,false
B0CTQ4RSMB,Fitness Mantra® 12 Pairs Sports Ankle Cotton Socks | Free Size| Breathable| Daily Use| Multicolor| 12 Pairs|,189,999,₹,81,810,https://www.amazon.in/dp/B0CTQ4RSMB?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41I+CDtvGxL._SL160_.jpg,SportsAndOutdoors,,false
B0DCZKTC9F,KUKLAR Wash Bag Pouch for Travel Kit Toiletry Bag Cosmetic Bag Make Up Box for Brushes Accessories with Handle Large Capacity Translucent Waterproof Travel Storage Organizer Set of 3 (Sky Blue),188,999,₹,81,811,https://www.amazon.in/dp/B0DCZKTC9F?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41buefb6NjL._SL160_.jpg,Luggage,,false
B08LHTJTBB,"Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Silver)",379,1999,₹,81,1620,https://www.amazon.in/dp/B08LHTJTBB?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41z+I72sJXL._SL160_.jpg,Furniture,,false
B0BSRX7P6F,"JIALTO Wall Hooks for Hanging Strong, Adhesive Hooks for Wall Heavy Duty, Wall hangings, Kitchen Accessories Items, Sticky Photo Frame Hangers (Pack of 20, Nail Hook)",199,999,₹,80,800,https://www.amazon.in/dp/B0BSRX7P6F?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/412UxoNDJ6L._SL160_.jpg,ToolsAndHomeImprovement,,false
