ASIN,Product Title,Current Price,Original Price,Currency,Discount %,Savings Amount,URL,Image URL,Category,Ratings Count,Star Rating,Brand,Prime
B0F7Y54PJX,"boAt 2025 Launch Rockerz 113, 40H Battery, Dual Pair, Fast Charge, ENx Tech, Stream Ad Free Music via App Support, Magnetic Buds, Bluetooth Neckband, Wireless with Mic in Ear Earphones (Active Black)",799,2490,₹,67,1691,https://www.amazon.in/dp/B0F7Y54PJX?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41YX5pqCzNL._SL500_.jpg,Electronics,0,0,boAt,true
B0D2R2MXXJ,"Samsung Original 25W Type-C Travel Adaptor Without Cable, White",899,1699,₹,47,800,https://www.amazon.in/dp/B0D2R2MXXJ?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/21e1IagopSL._SL500_.jpg,Electronics,0,0,Samsung,true
B07XLML2YS,Tapo C200 360° 2MP 1080p Full HD Pan/Tilt Home Security Wi-Fi Smart Camera| Alexa Enabled| 2-Way Audio| Night Vision| Motion Detection| Sound and Light Alarm| Indoor CCTV White,1799,3299,₹,45,1500,https://www.amazon.in/dp/B07XLML2YS?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31676ChqGqL._SL500_.jpg,Electronics,0,0,Tapo,true
B0D78X544X,"Redmi 13 5G Prime Edition, Hawaiian Blue, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",11199,19999,₹,44,8800,https://www.amazon.in/dp/B0D78X544X?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51hAAMX6sBL._SL500_.jpg,Electronics,0,0,Redmi,true
B0DLW427YG,"Redmi A4 5G (Sparkle Purple, 4GB RAM, 64GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | Charger in The Box",7499,10999,₹,31,3500,https://www.amazon.in/dp/B0DLW427YG?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/4146RWmsLuL._SL500_.jpg,Electronics,0,0,Redmi,true
B0C8JB3G5W,"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [Deep Grey]",1599,2299,₹,30,700,https://www.amazon.in/dp/B0C8JB3G5W?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31hXqtvutdL._SL500_.jpg,Electronics,0,0,OnePlus,true
B0F9TT7Z5Q,"realme NARZO 80 Lite 5G (Crystal Purple, 6GB+128GB) | 6000mAh Long-Lasting Battery | MediaTek Dimensity 6300 5G | AI Assist | IP64 Rated Water & Dust Resistance | Military-Grade Durability",10748,14999,₹,28,4251,https://www.amazon.in/dp/B0F9TT7Z5Q?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41hyMMjlg2L._SL500_.jpg,Electronics,0,0,realme,true
B0CHX1W1XY,Apple iPhone 15 (128 GB) - Black,51990,69900,₹,25,17910,https://www.amazon.in/dp/B0CHX1W1XY?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31KxpX7Xk7L._SL500_.jpg,Electronics,0,0,Apple,true
B0DCNWN8NZ,Apple EarPods (USB-C) ​​​​​​​,1599,2000,₹,20,401,https://www.amazon.in/dp/B0DCNWN8NZ?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/21irBFnTYoL._SL500_.jpg,Electronics,0,0,Apple,true
B0DFQ1R3W4,"OnePlus Nord Buds 3 Truly Wireless Bluetooth in Ear Earbuds with Up to 32Db Active Noise Cancellation,10Mins for 11Hours Fast Charging with Up to 43H Music Playback -Harmonic Gray",2299,2799,₹,17,500,https://www.amazon.in/dp/B0DFQ1R3W4?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31gtxHHEj9L._SL500_.jpg,Electronics,0,0,OnePlus,true
